Trace_Name,IPC,Instructions,Cycles,L1D_Access,L1D_Hit,L1D_Miss,L2C_Access,L2C_Hit,L2C_Miss,LLC_Access,LLC_Hit,LLC_Miss,LLC_Pref_Requested,LLC_Pref_Issued,LLC_Pref_Useful,LLC_Pref_Useless,Avg_Congested_Cycle
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_8192_150.txt,0.0878382,38467912,437940682,7198048,5520268,1677780,2530767,1529571,1001196,1854065,877067,976998,0,0,0,0,168
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_512_9600.txt,0.564884,52596276,93109837,7270740,6270209,1000531,1000973,671,1000302,1000729,221,1000508,0,0,0,0,1
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_1024_150.txt,0.224604,52596273,234173418,7366585,6366056,1000529,1000971,671,1000300,1128884,49801,1079083,854172,853894,42445,77638,191
cc-5.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_600.txt,0.181068,20700644,114325111,4867124,3407186,1459938,1579247,578981,1000266,1231802,91448,1140354,114668,113598,76599,34386,41
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_4096_4800.txt,0.452822,98033976,216495682,23889503,21025332,2864171,3801229,2735795,1065434,1960691,1708744,251947,556227,555792,46641,26478,4
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_256_300.txt,0.130657,29478984,225620603,6986425,5260119,1726306,2555204,1252707,1302497,1893633,47872,1845761,0,0,0,0,98
cc-5.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_2048_4800.txt,0.277808,20700645,74514091,4770205,3310241,1459964,1579273,578991,1000282,1385527,831222,554305,267712,267712,112360,71700,4
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_2400.txt,0.361974,98033976,270831566,23888557,21024390,2864167,3801224,2735921,1065303,1795174,649959,1145215,556072,555637,29908,138882,9
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_1024_600.txt,0.141775,38467912,271331326,7193117,5515341,1677776,2530763,1529567,1001196,1854065,868886,985179,0,0,0,0,44
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_256_150.txt,0.0860713,38467912,446930772,7197874,5520096,1677778,2530765,1529572,1001193,1876406,6253,1870153,22557,22557,4475,16345,168
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_2048_600.txt,0.241323,29478984,122155883,7084306,5357907,1726399,2555373,1252920,1302453,1893546,957752,935794,0,0,0,0,46
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_4096_9600.txt,0.354397,54612142,154098673,18819081,17475600,1343481,1915433,752454,1162979,2019230,1052977,966253,430591,430591,104953,147191,1
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_1024_300.txt,0.386977,52596276,135915739,7378343,6377813,1000530,1000972,671,1000301,1000728,485,1000243,0,0,0,0,98
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_512_4800.txt,0.308054,54612142,177281181,18728339,17384857,1343482,1915384,752451,1162933,2009727,254577,1755150,425824,425824,134579,186932,4
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_4096_9600.txt,1.06646,52596276,49318777,7273205,6272674,1000531,1000973,671,1000302,1000729,1000304,425,0,0,0,0,1
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_256_4800.txt,0.666215,84756213,127220501,10734062,9463841,1270221,1390807,293172,1097635,1206339,5769,1200570,0,0,0,0,4
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_1200.txt,0.449266,98033976,218208996,23889462,21025291,2864171,3801229,2735795,1065434,1958338,1683757,274581,556231,555796,44597,42145,13
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_300.txt,0.342507,98033976,286224570,23889099,21024931,2864168,3801225,2735931,1065294,1795891,650718,1145173,556031,555596,27656,138853,76
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_8192_600.txt,0.36384,54612142,150099144,19020491,17677005,1343486,1914945,751990,1162955,1772742,1136479,636263,137953,137834,17498,37352,41
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_600.txt,0.141421,38467912,272010303,7193460,5515683,1677777,2530764,1529571,1001193,2497362,543336,1954026,721771,721769,4984,232630,43
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_1024_9600.txt,0.943123,84756213,89867606,10790052,9519799,1270253,1390838,293201,1097637,1878887,716299,1162588,950940,950940,555801,81513,2
bfs-10.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_4096_4800.txt,0.251045,61219343,243857966,13890798,11056110,2834688,2984583,1977803,1006780,1152000,172571,979429,0,0,0,0,4
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_1024_600.txt,0.190986,20700644,108388374,4799328,3339395,1459933,1579242,578967,1000275,1118922,365444,753478,0,0,0,0,41
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_8192_150.txt,1.37802,84756213,61505798,10994760,9724525,1270235,1390823,293172,1097651,2015955,1994215,21740,814626,814566,3021,0,165
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_512_150.txt,0.300832,84756213,281738930,10692845,9422584,1270261,1390846,293219,1097627,1584907,350803,1234104,769645,769645,311156,57214,189
