================================================= Global Summary Table =================================================
Benchmark                  Model           Freq       IPC  Accuracy  Coverage  BW_Share |   Issued  Useful Useless    Late     Hit  Others
471.omnetpp-s1.trace.gz    pathfinder4096  1200    0.3746    12.43%    11.67%    45.66% |   939379  116810  322543   17021  349438  133567
471.omnetpp-s1.trace.gz    pythia4096      1200    0.3475    20.95%    13.19%    37.67% |   630111  132035  282083   16482  133896   65615
471.omnetpp-s1.trace.gz    no256           2400    0.3743     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder256   2400    0.3781    12.53%    11.75%    45.74% |   939381  117665  322533   16137  349793  133253
471.omnetpp-s1.trace.gz    pythia256       2400    0.3070    23.64%    16.55%    27.45% |   700976  165690  390000   20532   38013   86741
471.omnetpp-s1.trace.gz    no512           2400    0.2895     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder512   2400    0.3095    16.74%    15.74%    31.14% |   941167  157522  493594   20911  132754  136386
471.omnetpp-s1.trace.gz    pythia512       2400    0.3097    23.78%    16.68%    27.94% |   702116  166996  384299   23192   43231   84398
471.omnetpp-s1.trace.gz    no1024          2400    0.2964     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder1024  2400    0.3781    12.53%    11.75%    45.74% |   939381  117665  322533   16137  349793  133253
471.omnetpp-s1.trace.gz    pythia1024      2400    0.3133    24.61%    16.83%    35.21% |   684699  168530  361968   22533   55499   76169
471.omnetpp-s1.trace.gz    no2048          2400    0.3743     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder2048  2400    0.3781    12.53%    11.75%    45.74% |   939381  117665  322533   16137  349793  133253
471.omnetpp-s1.trace.gz    pythia2048      2400    0.3289    23.47%    16.13%    38.13% |   687960  161443  345827   20991   87483   72216
471.omnetpp-s1.trace.gz    no4096          2400    0.3743     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder4096  2400    0.3781    12.53%    11.75%    45.74% |   939381  117665  322533   16137  349793  133253
471.omnetpp-s1.trace.gz    pythia4096      2400    0.3525    20.57%    13.82%    39.28% |   672735  138361  302318   17039  142147   72870
471.omnetpp-s1.trace.gz    no256           4800    0.3755     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder256   4800    0.3796    12.53%    11.75%    45.74% |   939125  117674  322408   14641  349623  134779
471.omnetpp-s1.trace.gz    pythia256       4800    0.3095    23.41%    16.94%    28.40% |   724462  169620  411472   20976   35762   86632
471.omnetpp-s1.trace.gz    no512           4800    0.2912     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder512   4800    0.3113    16.75%    15.74%    31.14% |   940895  157587  493347   18023  132715  139223
471.omnetpp-s1.trace.gz    pythia512       4800    0.3119    23.68%    17.23%    28.75% |   728486  172525  399382   22206   46686   87687
471.omnetpp-s1.trace.gz    no1024          4800    0.2980     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder1024  4800    0.3796    12.53%    11.75%    45.74% |   939125  117674  322408   14641  349623  134779
471.omnetpp-s1.trace.gz    pythia1024      4800    0.3161    24.42%    17.46%    36.33% |   715643  174773  380942   19197   58097   82634
471.omnetpp-s1.trace.gz    no2048          4800    0.3755     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder2048  4800    0.3796    12.53%    11.75%    45.74% |   939125  117674  322408   14641  349623  134779
471.omnetpp-s1.trace.gz    pythia2048      4800    0.3316    23.62%    16.73%    38.93% |   709297  167518  353995   20690   92232   74862
471.omnetpp-s1.trace.gz    no4096          4800    0.3755     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder4096  4800    0.3796    12.53%    11.75%    45.74% |   939125  117674  322408   14641  349623  134779
471.omnetpp-s1.trace.gz    pythia4096      4800    0.3548    21.36%    15.03%    40.94% |   704500  150502  315855   17334  148389   72420
471.omnetpp-s1.trace.gz    no256           9600    0.3760     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder256   9600    0.3800    12.53%    11.75%    45.73% |   939040  117651  322352   14662  349631  134744
471.omnetpp-s1.trace.gz    pythia256       9600    0.3101    23.73%    16.85%    28.07% |   710881  168690  403233   22834   36283   79841
471.omnetpp-s1.trace.gz    no512           9600    0.2917     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder512   9600    0.3120    16.75%    15.74%    31.13% |   940781  157539  493244   18099  132720  139179
471.omnetpp-s1.trace.gz    pythia512       9600    0.3123    23.30%    17.00%    28.65% |   730338  170157  399728   22683   48505   89265
471.omnetpp-s1.trace.gz    no1024          9600    0.2986     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder1024  9600    0.3800    12.53%    11.75%    45.73% |   939040  117651  322352   14662  349631  134744
471.omnetpp-s1.trace.gz    pythia1024      9600    0.3169    24.24%    17.21%    36.07% |   710899  172297  378145   21529   55698   83230
471.omnetpp-s1.trace.gz    no2048          9600    0.3760     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder2048  9600    0.3800    12.53%    11.75%    45.73% |   939040  117651  322352   14662  349631  134744
471.omnetpp-s1.trace.gz    pythia2048      9600    0.3307    23.39%    16.35%    38.68% |   699721  163635  354963   18039   89822   73262
471.omnetpp-s1.trace.gz    no4096          9600    0.3760     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder4096  9600    0.3800    12.53%    11.75%    45.73% |   939040  117651  322352   14662  349631  134744
471.omnetpp-s1.trace.gz    pythia4096      9600    0.3538    20.64%    14.46%    40.56% |   701559  144788  317795   15455  147258   76263
473.astar-s1.trace.gz      no256           150     0.2845     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder256   150     0.2546     4.30%     3.05%    21.36% |   751978   32342  289712    6731  157384  265809
473.astar-s1.trace.gz      pythia256       150     0.2651     4.35%     0.90%    14.59% |   219635    9547  194853     350   13538    1347
473.astar-s1.trace.gz      no512           150     0.3079     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder512   150     0.2838     5.89%     4.18%    21.67% |   752005   44264  221969    5944  262668  217160
473.astar-s1.trace.gz      pythia512       150     0.2889     4.84%     0.99%    16.25% |   216182   10466  179548     356   23628    2184
